date,hours,plays
2017-12-16,2.159,48
2017-12-17,1.297,49
2017-12-18,2.757,79
2017-12-19,1.238,67
2017-12-20,0.976,29
2017-12-21,4.389,110
2017-12-22,5.556,110
2017-12-23,0.713,11
2017-12-24,1.377,32
2017-12-25,3.301,156
2017-12-26,0.982,34
2017-12-27,2.072,55
2017-12-28,3.574,71
2017-12-29,3.148,178
2017-12-30,33.356,447
2017-12-31,4.664,139
2018-01-01,6.066,173
2018-01-02,2.559,293
2018-01-03,7.149,57
2018-01-04,2.876,210
2018-01-05,2.457,43
2018-01-06,0.584,23
2018-01-07,0.003,6
2018-01-08,4.021,112
2018-01-09,6.667,247
2018-01-10,3.372,192
2018-01-11,1.988,204
2018-01-12,3.543,196
2018-01-13,2.606,59
2018-01-14,13.041,240
2018-01-16,1.394,84
2018-01-18,5.570,248
2018-01-19,1.385,80
2018-01-20,1.166,48
2018-01-21,4.414,150
2018-01-22,2.847,86
2018-01-23,3.145,111
2018-01-24,0.502,27
2018-01-26,8.755,201
2018-01-27,2.167,83
2018-01-28,1.911,34
2018-01-29,2.374,486
2018-01-30,2.214,69
2018-01-31,3.546,127
2018-02-01,1.823,213
2018-02-02,3.609,214
2018-02-03,3.041,200
2018-02-04,1.560,82
2018-02-05,1.825,107
2018-02-06,4.444,192
2018-02-07,2.174,56
2018-02-08,0.864,17
2018-02-09,4.170,124
2018-02-10,3.367,141
2018-02-11,3.134,79
2018-02-12,3.861,229
2018-02-13,5.625,139
2018-02-14,39.911,644
2018-02-15,3.461,179
2018-02-16,2.184,220
2018-02-17,0.371,9
2018-02-18,3.356,146
2018-02-19,0.671,26
2018-02-20,3.704,106
2018-02-21,4.278,178
2018-02-22,2.785,86
2018-02-23,1.105,63
2018-02-24,4.204,506
2018-02-25,2.431,43
2018-02-26,1.332,86
2018-02-27,0.732,41
2018-02-28,0.830,26
2018-03-01,0.547,15
2018-03-02,0.362,11
2018-03-03,0.638,32
2018-03-04,0.579,77
2018-03-05,1.447,64
2018-03-06,4.903,271
2018-03-07,1.008,64
2018-03-08,1.392,38
2018-03-09,0.451,7
2018-03-10,1.656,76
2018-03-11,2.612,53
2018-03-12,0.764,84
2018-03-13,12.288,200
2018-03-14,5.098,147
2018-03-15,1.468,80
2018-03-16,3.058,68
2018-03-17,0.898,30
2018-03-18,1.946,199
2018-03-19,5.324,399
2018-03-20,0.957,61
2018-03-21,1.461,43
2018-03-22,1.609,67
2018-03-23,0.998,67
2018-03-24,4.123,418
2018-03-25,2.849,436
2018-03-26,2.641,132
2018-03-27,3.733,174
2018-03-28,3.663,165
2018-03-29,4.485,207
2018-03-30,3.995,108
2018-03-31,0.887,31
2018-04-01,3.777,144
2018-04-02,4.538,103
2018-04-03,3.590,89
2018-04-04,2.966,61
2018-04-05,0.335,17
2018-04-06,5.104,122
2018-04-07,3.705,168
2018-04-08,3.480,128
2018-04-09,6.717,248
2018-04-10,1.160,22
2018-04-11,5.737,220
2018-04-12,3.725,69
2018-04-13,7.509,173
2018-04-14,2.070,33
2018-04-15,5.529,200
2018-04-16,2.178,147
2018-04-17,2.650,178
2018-04-18,0.948,13
2018-04-19,3.757,186
2018-04-20,1.124,18
2018-04-21,4.607,193
2018-04-22,3.263,116
2018-04-23,3.187,95
2018-04-24,3.477,88
2018-04-25,1.414,44
2018-04-26,1.345,28
2018-04-27,2.941,104
2018-04-28,2.337,115
2018-04-29,1.088,13
2018-04-30,3.525,149
2018-05-01,1.022,72
2018-05-02,2.271,86
2018-05-03,2.285,75
2018-05-04,0.168,4
2018-05-05,0.993,43
2018-05-06,4.506,113
2018-05-07,0.850,9
2018-05-08,2.196,154
2018-05-09,4.910,217
2018-05-10,2.704,82
2018-05-11,2.430,104
2018-05-12,1.728,78
2018-05-13,2.822,87
2018-05-14,0.580,120
2018-05-15,1.460,72
2018-05-16,9.713,140
2018-05-17,3.059,97
2018-05-18,4.346,169
2018-05-19,2.000,55
2018-05-20,2.187,66
2018-05-21,4.172,62
2018-05-22,3.975,121
2018-05-23,0.247,11
2018-05-24,0.645,20
2018-05-25,6.273,244
2018-05-26,0.764,38
2018-05-27,3.229,128
2018-05-28,5.533,146
2018-05-29,0.103,6
2018-05-30,5.675,138
2018-05-31,1.249,62
2018-06-01,1.514,53
2018-06-02,0.027,4
2018-06-03,2.244,62
2018-06-04,2.166,109
2018-06-05,1.886,51
2018-06-06,2.432,68
2018-06-07,0.228,4
2018-06-08,1.420,76
2018-06-09,3.314,70
2018-06-10,4.066,168
2018-06-11,3.183,195
2018-06-12,5.293,202
2018-06-13,0.722,48
2018-06-14,1.942,98
2018-06-15,0.644,44
2018-06-16,3.787,55
2018-06-17,2.837,53
2018-06-18,1.565,16
2018-06-19,0.131,2
2018-06-20,1.520,45
2018-06-21,1.381,30
2018-06-22,0.623,20
2018-06-23,1.885,74
2018-06-24,2.278,88
2018-06-25,1.306,60
2018-06-26,2.517,118
2018-06-27,3.119,79
2018-06-28,3.002,133
2018-06-29,2.674,131
2018-06-30,2.591,123
2018-07-01,1.489,140
2018-07-02,6.184,16
